"Started by: Noli Ergas
Made by: Fine unicycle folk such as yourself!",, ,,,,https://unicyclist.com/t/any-good-material-for-learning-to-pirouette-advanced-tricks/267093/24,,,,,
,,Category/Tag,Definition,,,,,,,,
,,balance,under category of position! Requires active balancing,,,,,,,,
,,basic,simple trick that either forms the foundation of no other trick or too general to be a useful category/tag,,,,,,,,
,,coast,wheel revolves on ground with no foot/hand contact on pedals/cranks/tire,,,,,,,,
,,flip,wheel revolves in the air with feet off pedals (crank flip),,,,,,,,
,,glide,"Examples: feet-tire, feet-floor, brake-wheel, knee-tire",,,,,,,,
,,grind,unicycle slides on an object through contact with anything other than the tire (ex: pedal/crank/frame),,,,,,,,
,,jam,foot lodged onto tire&frame or crank&frame,,,,,,,,
,,mount,trick involves mounting the unicycle,,,,,,,,
,,pedal push,pushing the pedal,,,,,,,,
,,pirouette,"Uni and body, in place, spinning round a vertical axis and having contact with ground",,,,,,,,
,,position,is a place to be and not a movement,,,,,,,,
,,prefix,"not a trick on its own, but added before a trick name to indicate direction of travel, seat position, etc.",,,,,,,,
,,rev,wheel revolves in the air with feet on pedals,,,,,,,,
,,ride,"Pedaling stuff (examples: sideride, crossed feet seat out back, outsiderollride, seat out onefoot toeslide) ",,,,,,,,
,,roll,wheel is propelled through a combination of feet on cranks/pedals and tire,,,,,,,,
,,spin,unicycle spins relative to the ground,,,,,,,,
,,twist,"body and unicycle spin the same direction, but unicycle does not spin relative to body",,,,,,,,
,,walk,wheel is propelled solely by feet on tire or on cranks,,,,,,,,
,,whip,seat does a full revolution around the wheel,,,,,,,,
,,wild,"fits into no other category but is on a level all its own, either by being next-level or just wacky",,,,,,,,
,,wrap,leg wraps around seat,,,,,,,,
,,,,,,,,,,,
ADDITIONAL RULE: DON'T DELETE ANY ENTRIES!,,Conventional Grammar Rules:,,,,,,,,,
"The whole point of a dictionary is to define language based on usage. Even if you think no one else uses that term, if somebody and that person's friends uses that term, it belongs in the dictionary. Don't agree? MAKE A NEW LISTING!",,"If trick is a combination of different tricks, the name word order should follow this order of categories:",,,,,,,,,
,,,"direction of travel, late, seat position, varial, ° unispin, leg wrap type, (#) flip(s)/spin/grind",,,,,,,,
,,"Examples: Fakie Late Trey Side Double Flip, Static Inward Small Side Spin, Rolling Out 540 Anti Side Spin",,,,,,,,,
,,NOTES:,,,,,,,,,
,,"""flip"" and ""grind"" are often left out of trick names",,,,,,,,,
,,"unispins are often abbreviated by the 1st number of the degree of spin (e.g. ""5 spin"" = 540 unispin)",,,,,,,,,
,,"numbers referring to flips are in the tuple form of double, triple, quad, quint, etc.",,,,,,,,,
,,"spins combined with a flip, take the ordinal form of fifth, seventh, ninth, tenth, etc. (refering to 540, 720, 900, 1080, etc)",,,,,,,,,
,,EXCEPTIONS:,,,,,,,,,
,,"""Fakie Flip"" comes at the end of a trick name, so direction of travel is not included at the beginning of the trick name 
(ex: Full Out Back Side Fakie Flip)",,,,,,,,,
"
",,,,,,,,,,,
,,No Color,Looks good,,,,,,,,
,,Yellow,Not sure / Someone double check,,,,,,,,
,,Red,Wrong / Incomplete / Someone fix this,,,,,,,,
,,,,,,,,,,,
Trick Name,"Alternate
Name(s)",Categories,Definition,"Invented by /
 First Landed by","Year First
Landed","Reference Video Link
(original is best or clear example)","Reference 
 Time in Video",Prerequisite Trick,Optional Prerequisite Trick,"Entered /
 Last Edited by",NOTES:
1080 Flip,"X flip, Tenth flip, 10 flip","flip, spin",1080 unispin + crank flip,Eli Brill,2017,https://www.youtube.com/watch?v=UhVM_cV1XiU&t=142s,3:30,ninth flip,,Emile Mathieu,
1080 Side Spin,1080 Side,"spin, wrap",1080 unispin + leg wrap in same direction as unispin,,,https://www.youtube.com/watch?v=7Q5M9qMXkU0,,900 side spin,1080,Noli Ergas,
1080 Unispin,,spin,"feet leave pedals, unicycle turns 1080 degrees relative to ground, feet land on pedals",Adrien Delecroix,2009,https://vimeo.com/5366980,0:00,900 unispin,,Emile Mathieu,
1260 Side Spin,1260 Side,"spin, wrap",1260 unispin + leg wrap in same direction as unispin,Eli Brill,2024,https://www.youtube.com/watch?v=TYLYeAFeBqs,,1080 side spin,1260,Trey Haun,
